
Error
Epoch,Starting from 464 network without change a lower bound 3,Starting from 4674 network without change an upper bound 3,Starting from 4134 network without change an upper bound 3,Starting from 464 network to bigger 4674 with old neurons locked 3 7500,Starting from 464 network to bigger 4674 with all neurons unlocked 3 7500,Starting from 464 network to bigger 4134 with all neurons unlocked 3 7500,Starting from 464 network to bigger 4674 with old neurons locked 3 15000,Starting from 464 network to bigger 4674 with all neurons unlocked 3 15000,Starting from 464 network to bigger 4134 with all neurons unlocked 3 15000
250.0,0.416139567074,0.728169861527,0.416581647355,0.423477672304,0.420700955889,0.420681566379,0.417683002823,0.419596259631,0.42084788469
300.0,0.402388390578,0.572513514475,0.394173353703,0.403992970809,0.398949346667,0.402833289463,0.400858311676,0.404788377577,0.401954794312
350.0,0.38126290437,0.477472970476,0.372101972848,0.378097897072,0.381674713617,0.382412064407,0.382394689962,0.378078576687,0.379914102301
400.0,0.359720042693,0.464464319836,0.344560882283,0.360119474815,0.357780158128,0.356772217464,0.357394881345,0.358826729686,0.36088877812
450.0,0.336477926885,0.446301918141,0.314943122513,0.339017340606,0.335955463437,0.332210160752,0.33740992492,0.335011283669,0.338035970112
500.0,0.31494041117,0.422013944504,0.29041234108,0.315908163626,0.312918344256,0.315178521451,0.311215611231,0.311299124104,0.313681619546
550.0,0.295483168956,0.400227269497,0.262819640588,0.296218051456,0.294789100952,0.295255691884,0.294023216219,0.295087232678,0.293312728729
600.0,0.27834171604,0.372062791035,0.245050285647,0.274777157438,0.275513997836,0.276509389912,0.275023503097,0.274178279664,0.275085311361
650.0,0.261918685683,0.347358165232,0.225993172945,0.262182014671,0.260769443827,0.260998089255,0.259950539242,0.261398410392,0.260183957695
700.0,0.251641744094,0.331708999748,0.214119942652,0.250895378037,0.249283943603,0.250874782624,0.246931978758,0.2506058465,0.249112147915
750.0,0.238730217414,0.319279251389,0.201580402605,0.238193094313,0.237987299126,0.239202460817,0.239985451171,0.238539646993,0.23771927336
800.0,0.234416202524,0.305719360975,0.190566823881,0.233417056627,0.232272713851,0.231456456,0.230073509197,0.22995899409,0.229981281698
850.0,0.227358453893,0.293686128729,0.183033250845,0.2242173219,0.223191871705,0.221405400887,0.222049482509,0.222117709731,0.224677593112
900.0,0.220169593286,0.287402849517,0.177400880726,0.221255121975,0.218256584029,0.214743521788,0.216434247198,0.217575179498,0.21815507632
950.0,0.217329550703,0.277858817749,0.170620110393,0.212922750949,0.211375339841,0.208756313531,0.211435162254,0.209804114687,0.210929091261
1000.0,0.209881325504,0.266753053182,0.165136090624,0.207170846055,0.206306446373,0.20442421718,0.204155467729,0.205949583009,0.204971417602
1050.0,0.207056741849,0.257831283324,0.158209903683,0.202516455525,0.201580482485,0.200074432864,0.200971496456,0.19986488501,0.198893213854
1100.0,0.200804612082,0.252351204782,0.155165167362,0.199756521909,0.19734423073,0.193955149578,0.195692472425,0.194941072963,0.196281313883
1150.0,0.196276557884,0.241184893962,0.149899427096,0.19251192657,0.190635705172,0.191322783243,0.190913319575,0.192740896765,0.191120842585
1200.0,0.192015888826,0.232596442421,0.146082643343,0.188978520805,0.188080208317,0.188045038392,0.187143720367,0.187789273881,0.188503753018
1250.0,0.187946619919,0.223154169398,0.141730912307,0.185418365438,0.183460193598,0.184357069761,0.183563728054,0.184103678616,0.18252776869
1300.0,0.185594477565,0.212335978741,0.137814380832,0.181463870029,0.179650822954,0.180272502021,0.177230237064,0.17909486447,0.176980944879
1350.0,0.178968204922,0.195566431812,0.134718521295,0.178319831423,0.176388655699,0.175571743845,0.17511823285,0.176846942159,0.174175289897
1400.0,0.175807944822,0.182209494333,0.129375492449,0.173959433159,0.173396424162,0.171855843769,0.170085596213,0.173106256756,0.169884912969
1450.0,0.169833466119,0.16846963431,0.124636201754,0.16928079641,0.168850126303,0.166596212455,0.165345124375,0.168181209691,0.165366696535
1500.0,0.165810330276,0.156393610252,0.121829670865,0.16662429484,0.164648050185,0.162803845079,0.162299721603,0.163010610559,0.16391455726
1550.0,0.158259236663,0.142110081517,0.116909612843,0.16192593357,0.161533093735,0.15778204431,0.157762218377,0.157838009196,0.156302863594
1600.0,0.152799810869,0.133365906219,0.112264529268,0.157501818757,0.155065602421,0.154213682836,0.153521199557,0.155635362824,0.152277941968
1650.0,0.148934948911,0.125255045148,0.106446786336,0.152589597387,0.153312595633,0.149147248304,0.149526438852,0.149649335184,0.147911863856
1700.0,0.144261528102,0.117080276276,0.104006801449,0.14882699329,0.147988427595,0.144413176647,0.145641183247,0.146377613746,0.14604629909
1750.0,0.142962860782,0.107448719621,0.100058225726,0.144923437483,0.143893797836,0.14099282544,0.142892849181,0.14016538088,0.139002717425
1800.0,0.138437032503,0.10326017537,0.0956948630127,0.141547527888,0.140614141358,0.138667973811,0.139558611922,0.140341141811,0.137128096447
1850.0,0.133538824289,0.0980091684388,0.0931726272677,0.135452366515,0.135268147257,0.133802704132,0.135733277068,0.135153835614,0.13380623854
