Error
Epoch,Starting from 4|6|7|4 network without change a lower bound 3,Starting from 4|6|7|7|4 network without change an upper bound 3,Starting from 4|14|6|4 network without change an upper bound 3,Starting from 4|13|4 network without change a lower bound 3,Starting from 4|6|7|4 network to bigger 4|6|7|7|4 with old neurons locked 3 32500,Starting from 4|6|7|4 network to bigger 4|6|7|7|4 with old neurons locked 3 40000,Starting from 4|6|7|4 network to bigger 4|6|7|7|4 with layers 4|6 locked 3 32500,Starting from 4|6|7|4 network to bigger 4|6|7|7|4 with layers 4|6 locked 3 40000,Starting from 4|6|7|4 network to bigger 4|6|7|7|4 with all neurons unlocked 3 32500,Starting from 4|6|7|4 network to bigger 4|6|7|7|4 with all neurons unlocked 3 40000,Starting from 4|13|4 network to bigger 4|14|6|4 with all neurons unlocked 3 32500,Starting from 4|13|4 network to bigger 4|14|6|4 with all neurons unlocked 3 40000
25050.0,0.0563637997062,0.0546901281542,0.0546860248371,0.0512431717381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25100.0,0.0555423505902,0.0554777437421,0.0545059563948,0.0523767608045,0.788048149804,0.771320814541,0.756094367259,0.686346187641,0.668647176022,0.521144643886,0.553471346454,0.628503157225
25150.0,0.0568747878332,0.0545305785906,0.0536267851377,0.0521537575363,0.738900459627,0.752490781791,0.692138659619,0.656132992178,0.493375957421,0.443428376871,0.497256668601,0.527165174631
25200.0,0.0575362924866,0.0547546819521,0.0537336979883,0.0534914924079,0.696994393408,0.734157138546,0.648204579825,0.627666188905,0.47040036599,0.378975615051,0.462329937737,0.472233016397
25250.0,0.056686182121,0.0540582912441,0.0543865170014,0.05132582594,0.667394157359,0.720765382097,0.638394165608,0.614062839801,0.446186494829,0.349175885016,0.433068033159,0.44466762067
25300.0,0.0562966974901,0.0543199863042,0.0556602281292,0.0523808597807,0.645907531521,0.712704535962,0.6124320307,0.595439492681,0.432669869647,0.312296707414,0.422302064325,0.417209259611
25350.0,0.0559801017623,0.0542308780777,0.0537107446266,0.0523281211792,0.63016126112,0.711448879085,0.604962459812,0.584279583991,0.428815756322,0.282451483133,0.414412646275,0.395241935788
25400.0,0.0570655857089,0.0543238338148,0.0540980127981,0.0510070528093,0.626258436237,0.702826956345,0.607733144187,0.574789569764,0.410261301799,0.257423841953,0.386957186408,0.373997355311
25450.0,0.0573606900155,0.053571378214,0.0545672314523,0.0516450109834,0.620871887547,0.689555871797,0.591731591669,0.565983850642,0.396359152831,0.238738666424,0.377286015487,0.363182280516
25500.0,0.0557068156182,0.0528645684402,0.0551069947637,0.0511700160316,0.623539565534,0.68575327026,0.57865254552,0.56429834504,0.385979571697,0.210752018287,0.36672531549,0.354707352792
25550.0,0.056232960315,0.0535053593479,0.0536029026354,0.0513499766037,0.613205976162,0.679116110814,0.579989195548,0.550083108117,0.369895733123,0.188778517044,0.352712084443,0.341535950539
25600.0,0.0564178278986,0.0534718936101,0.0533708528886,0.0522960869704,0.612863003055,0.680878976919,0.574841469994,0.552449114893,0.35493535479,0.180580727358,0.345491668532,0.332663509502
25650.0,0.0566506758059,0.0574266783285,0.0544380506504,0.0521468721972,0.597015307014,0.67809804659,0.569473743633,0.543311661164,0.329420282906,0.176320017408,0.33521930024,0.326741581456
25700.0,0.0569119330154,0.0538568828025,0.053874182306,0.052629649045,0.606861667556,0.666700082289,0.572187132933,0.541378835466,0.309833374638,0.166266722968,0.340271763466,0.313807922619
25750.0,0.0572847951954,0.0519089157635,0.0544878647435,0.0511263661581,0.595654796079,0.666959460153,0.556387702346,0.538157497374,0.293175123129,0.15442204815,0.334316274938,0.307203534658
25800.0,0.0570982561566,0.0531529050199,0.0562532172996,0.0506210443648,0.586672827611,0.665652242885,0.557931288035,0.526808182745,0.27660378039,0.149204808158,0.321519853241,0.301871705859
25850.0,0.0575632898962,0.0545969890499,0.0543095300983,0.0507532560892,0.582389306607,0.668844721833,0.547460764395,0.530154142099,0.268725405792,0.142689336921,0.322900837555,0.296776174394
25900.0,0.0565005096384,0.0550043308617,0.0540924099174,0.0526576566414,0.576153639733,0.667266103691,0.540656339745,0.528217941374,0.249310547003,0.141926413107,0.327713026354,0.290410698747
25950.0,0.0551953307305,0.0535196172723,0.0535042027443,0.051526441616,0.566601431919,0.664445723114,0.542908781738,0.515085062901,0.247590336175,0.136331467114,0.312910273938,0.281285695801
